model_type;temperature;alpha;distillation_method;error;train_accuracy;test_accuracy;train_precision;test_precision;train_recall;test_recall;train_f1;test_f1;train_auc_roc;test_auc_roc;train_auc_pr;test_auc_pr;train_kl_divergence;test_kl_divergence;train_ks_statistic;test_ks_statistic;train_ks_pvalue;test_ks_pvalue;train_r2_score;test_r2_score;best_params;distillation_class
LOGISTIC_REGRESSION;1.0;0.5;surrogate;LinearRegression.__init__() got an unexpected keyword argument 'random_state';;;;;;;;;;;;;;;;;;;;;;
DECISION_TREE;1.0;0.5;surrogate;;0.9714285714285714;0.9385964912280702;0.9593220338983051;0.9714285714285714;0.9964788732394366;0.9315068493150684;0.9775474956822107;0.951048951048951;0.963954781319496;0.94954894754427;0.9590494280250743;0.967987498247578;0.31026671922997373;0.536984568741799;0.34945054945054943;0.32456140350877194;4.807660883741121e-25;1.0330645961231932e-05;0.9284438186093715;0.8894601369339152;{};SurrogateModel
GBM;1.0;0.5;surrogate;;0.978021978021978;0.9385964912280702;0.9691780821917808;0.9714285714285714;0.9964788732394366;0.9315068493150684;0.9826388888888888;0.951048951048951;0.9966436043159541;0.987303708653525;0.997692932425975;0.9929268507014781;0.27667285452747625;0.4165920851098963;0.34945054945054943;0.2982456140350877;4.807660883741121e-25;7.072456289001827e-05;0.9550014350491867;0.9009660948073647;{};SurrogateModel
XGB;1.0;0.5;surrogate;;0.9824175824175824;0.9385964912280702;0.9726027397260274;0.9459459459459459;1.0;0.958904109589041;0.9861111111111112;0.9523809523809523;0.994306482167861;0.9916471767457401;0.9928037391941903;0.9951706796371005;0.2699762925177826;0.30908267004893536;0.34945054945054943;0.2894736842105263;4.807660883741121e-25;0.0001292251272558313;0.9486786546733981;0.9825078118922671;{};SurrogateModel
